PM25DAL12_PC,PM25DAL12_01,POSTALCODE_12,PROV_12
V0R1X4,2.9,V0R1X4,BC
V0R1X5,2.9,V0R1X5,BC
V0R1X6,2.4,V0R1X6,BC
V0R1X7,2.7,V0R1X7,BC
V0R1Y0,0.8,V0R1Y0,BC
V0R1Z0,NULL,V0R1Z0,BC
V0R2B0,NULL,V0R2B0,BC
V0R2C0,4.3,V0R2C0,BC
V0R2G0,2.1,V0R2G0,BC
V0R2G1,2.4,V0R2G1,BC
V0R2H0,NULL,V0R2H0,BC
V0R2J0,NULL,V0R2J0,BC
V0R2K0,NULL,V0R2K0,BC
V0R2L0,0.9,V0R2L0,BC
V0R2M0,NULL,V0R2M0,BC
V0R2N0,1.8,V0R2N0,BC
V0R2P0,0.6,V0R2P0,BC
V0R2P1,0.9,V0R2P1,BC
V0R2P2,1.8,V0R2P2,BC
V0R2P3,0.3,V0R2P3,BC
V0R2P4,0.6,V0R2P4,BC
V0R2V0,NULL,V0R2V0,BC
V0R2W0,3.4,V0R2W0,BC
V0R2W1,3,V0R2W1,BC
V0R2W2,1.7,V0R2W2,BC
V0R2W3,2.3,V0R2W3,BC
V0R2W5,2.3,V0R2W5,BC
V0R2Y0,2.9,V0R2Y0,BC
V0R2Z0,NULL,V0R2Z0,BC
V0R3A0,NULL,V0R3A0,BC
V0R3B0,NULL,V0R3B0,BC
V0R3C0,2.1,V0R3C0,BC
V0R3E1,NULL,V0R3E1,BC
V0S1K0,NULL,V0S1K0,BC
V0T1B0,NULL,V0T1B0,BC
V0T1C0,NULL,V0T1C0,BC
V0T1H0,NULL,V0T1H0,BC
V0T1J0,NULL,V0T1J0,BC
V0T1L0,NULL,V0T1L0,BC
V0T1M0,NULL,V0T1M0,BC
V0T1P0,NULL,V0T1P0,BC
V0T1R0,NULL,V0T1R0,BC
V0T1S0,NULL,V0T1S0,BC
V0T1S1,NULL,V0T1S1,BC
V0T1T0,NULL,V0T1T0,BC
V0T1W0,NULL,V0T1W0,BC
V0T1Y0,NULL,V0T1Y0,BC
V0T1Z0,NULL,V0T1Z0,BC
V0T2B0,NULL,V0T2B0,BC
V0V1A0,NULL,V0V1A0,BC
